TITLE,PLOT,POSTER,RATING,PEOPLE_RATED,JAPANESE_NAME,EPISODES,STATUS,AIRED,DURATION,POPULARITY,RANKED,CERTIFICATE,MEMBERS,FAVOURITES,PRODUCERS,LICENSORS,GENRE,STUDIOS
Gatchaman Crowds Insight,"One day, a huge UFO spins over Japan and crashes into a rural farmland outside Nagaoka, disrupting Tsubasa Misudachi's ordinary life. As the Gatchaman, the legendary defenders of Tachikawa City, supervise the ordeal, a peaceful alien creature emerges from the spacecraft. In the ensuing chaos, Tsubasa is given a special high-tech notebook, or NOTE, from Gatchaman founder J.J. Robinson, signaling Tsubasa's sudden recruitment into their group. Under the tutelage of fellow hero Hajime Ichinose, Tsubasa slowly begins to adjust to life as a defender of justice. Meanwhile, the CROWDS technology, which enables users to manifest their consciousness' into a physical form, is spreading amongst the public, as well as being endorsed by Prime Minister Sugayama. However, a mysterious organization known as VAPE has gained notoriety by using unique red CROWDS to wreak havoc, shifting public opinion against the CROWDS technology. The Gatchaman, along with new recruit Tsubasa, must put a stop to their destructive activities before it's too late. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/11/74978.jpg,7.24,"27,811 users",GATCHAMAN CROWDS insight（インサイト）,12,Finished Airing,"Jul 5, 2015 to Sep 27, 2015",23 min. per ep.,#2389,,PG-13 - Teens 13 or older,"74,370",188,add some,Sentai Filmworks,"Action,Sci-Fi",Tatsunoko Production
Fullmetal Alchemist: Reflections,A reflection on what happened during the FMA TV series.,https://cdn.myanimelist.net/images/anime/2/18690.jpg,7.24,"16,944 users",鋼の錬金術師 旅の始まり,1,Finished Airing,"Mar 19, 2005",55 min.,#3236,,R - 17+ (violence & profanity),"43,293",40,add some,add some,"Adventure,Comedy,Drama,Fantasy",Bones
Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss,"It is Kyouya Sata's 17th birthday, and it seems Erika Shinohara has forgotten about her beloved boyfriend's important day. Even Erika's best friend, Ayumi Sanda, appears to be unaware as she asks Kyouya to tutor her after school. However, behind the scenes, Erika is preparing a surprise in Kyouya's apartment and has assigned Ayumi the job of distracting him. Not everything goes as planned, though, as in front of Kyouya's home, an unlucky accident sets Erika into a complete frenzy—meaning Kyouya now has to find a way to calm down his oddball girlfriend. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/7/70461.jpg,7.23,"25,995 users",オオカミ少女と黒王子「疑心暗鬼 -Happening kiss-」,1,Finished Airing,"Apr 24, 2015",23 min.,#2865,,PG-13 - Teens 13 or older,"54,415",50,VAP,add some,"Comedy,Romance",TYO Animations
Mayo Chiki!,"Due to his mother and sister, who both love professional wrestling, Kinjirou Sakamachi developed a resilient body that could take hard punches, aggressive kicks, and even deadly vehicle bumps, in order to survive their various grappling positions and locks. However, he also developed gynophobia, an abnormal fear of women. With just one touch from a girl, his nose bleeds uncontrollably, he sweats excessively, and in rare cases, faints abruptly. His life changes for the worse because of a fated meeting in the restroom. While trying to escape from a girl, he discovers that the most popular student in their school, Subaru Konoe—the butler of the headmaster’s daughter, Kanade Suzutsuki—is actually female! Surprised, Subaru violently assaults Kinjirou, dealing significant damage and knocking him unconscious. When he comes to, he meets Kanade. In exchange for his silence, she promises to help cure his phobia. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/13/29971.jpg,7.23,"263,250 users",まよチキ!,13,Finished Airing,"Jul 8, 2011 to Sep 30, 2011",24 min. per ep.,#441,,R+ - Mild Nudity,"485,956","1,875","Starchild Records,Media Factory,TBS,DAX Production,PRA,RAY",Sentai Filmworks,"Comedy,Romance,Ecchi",feel.
Ling Long: Incarnation Part 2,Second half of Ling Long: Incarnation.,https://cdn.myanimelist.net/images/anime/1318/109517.jpg,7.23,889 users,灵笼:INCARNATION 下半季,6,Finished Airing,"Jul 31, 2020 to Oct 9, 2020",30 min. per ep.,#10692,,R - 17+ (violence & profanity),"2,140",18,bilibili,add some,"Action,Drama,Horror,Sci-Fi,Suspense",YHKT Entertainment
Nanatsu no Taizai: Imashime no Fukkatsu Joshou,"An episode recapping Nanatsu no Taizai with additional scenes, aired before the new season in January 2018.",https://cdn.myanimelist.net/images/anime/8/89656.jpg,7.23,"26,442 users",七つの大罪 戒めの復活 -序章-,1,Finished Airing,"Jan 6, 2018",24 min.,#2605,,PG-13 - Teens 13 or older,"64,918",115,add some,add some,"Action,Adventure,Fantasy",A-1 Pictures
Hitsugi no Chaika,"For 500 years, the Taboo Emperor, Arthur Gaz, ruled the Gaz Empire with an iron fist and conducted inhumane experiments on his own people. But his reign came to an end five years ago, when mighty warriors—later known as the Eight Heroes—defeated him in a battle for the capital. His death ended the 300-yearlong war between the Gaz Empire and the alliance of six nations. In the present day, Tooru Acura is a former saboteur from the war who has difficulty settling into the peaceful world, as he cannot find a job where he can put his fighting skills to use. An opportunity appears before him, however, when he meets a white-haired Wizard named Chaika Trabant. With a coffin on her back, she is searching for the scattered remains of her father in order to give him a proper burial, and she hires Tooru and his adoptive sister Akari to help her. However, the six nations alliance, which have now formed the Council of Six Nations, dispatches Albéric Gillette and his men from the Kleeman Agency to pursue and apprehend the late Emperor Gaz's daughter—Chaika. With the shocking revelation of Chaika's identity, the Acura siblings must choose between helping her gather the remains of the tyrannical emperor and upholding the peace the continent strives to maintain. [Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/4/61781.jpg,7.22,"172,034 users",棺姫のチャイカ,12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014",24 min. per ep.,#595,,R - 17+ (violence & profanity),"374,684",845,"Kadokawa Shoten,flying DOG,Fujimi Shobo",Sentai Filmworks,"Action,Adventure,Fantasy,Romance",Bones
Hataraku Saibou: Kaze Shoukougun,"For the regular cells of the human body, life consists of countless repetitive tasks. They spend every day multiplying, leaving little time for other activities. But one day, this monotony is abruptly interrupted by a cell with an odd-looking hat. Tired of unending drudgery, another cell named Ippan Saibou decides to join this quirky stranger for a day of pranks, jokes, and mischief. [Written by MAL Rewrite] ",https://cdn.myanimelist.net/images/anime/1888/96676.jpg,7.22,"26,752 users",はたらく細胞 新作エピソード「風邪症候群」,1,Finished Airing,"Dec 27, 2018",23 min.,#3116,,PG-13 - Teens 13 or older,"46,524",9,add some,Aniplex of America,,David Production
Yes! Precure 5,"Yumehara Nozomi, a regular student, finds a magical book called the Dream Collet in the library and meets Coco and Nuts, two creatures from the Palmier Kingdom. They plead with Nozomi to restore their world, which has been destroyed by an organization called the Nightmares, by completing the Dream Collet and finding the 55 Pinkies to make any wish come true. Meanwhile, the Nightmares are moving into the real world. Once Nozomi agrees to help, Coco and Nuts transform her into the magical girl Cure Dream and turn four fellow students into her Pretty Cure team. (Source: ANN)",https://cdn.myanimelist.net/images/anime/4/7535.jpg,7.21,"6,948 users",Yes! プリキュア5,49,Finished Airing,"Feb 4, 2007 to Jan 27, 2008",24 min. per ep.,#5003,,G - All Ages,"17,145",105,Asahi Broadcasting,add some,"Action,Fantasy",Toei Animation
Hanhua Riji,"In the twenty-first century, gods and demons can no longer maintain equilibrium due to the rapid development of people in society. In an effort to restore proper order, the gods began to take care of the world, for which they will send a group of gods and monsters to the world to find the ""key"" to salvation. Su Moting is a girl with the personality of a ""demon child"". When her parents asked her to leave their house so that she could become independent, the girl meets the beautiful and charming god Tianjin and the mysterious demon cat Dukui. So begins the new hectic life of Su Moting.",https://cdn.myanimelist.net/images/anime/1042/100435.jpg,7.22,"1,969 users",汉化日记,12,Finished Airing,"Jul 21, 2019 to Sep 29, 2019",14 min. per ep.,#7618,,PG-13 - Teens 13 or older,"5,929",41,"bilibili,Liyu Culture,Yunyi Animation ,Haowan Dongman,Qizhiying Culture",add some,"Comedy,Slice of Life,Supernatural","L²Studio,TrioPen Studio"
